Day;Month;Year;Sensor;Plot;Subplot;Moisture;Salinity;Observer;Observations
30;12;2019;10;1;E4;36,2;0.104;Oscar;
30;12;2019;10;1;E5;28,3;0.086;Oscar;
30;12;2019;10;1;E6;25;0.053;Oscar;
30;12;2019;10;1;F1;29,4;0.068;Oscar;
30;12;2019;10;1;F2;26,3;0.098;Oscar;
30;12;2019;10;1;F3;21,4;0.11;Oscar;
30;12;2019;10;1;F4;26,7;0.103;Oscar;
30;12;2019;10;1;F5;33,2;0.111;Oscar;
30;12;2019;10;1;F6;34,3;0.121;Oscar;
30;12;2019;10;2;A1;24,4;0.066;Oscar;Sometimes (in this plot) observations of 99% of moisture. This is not a realistc value, we have to repeat the measure 
30;12;2019;10;2;A2;27,4;0.059;Oscar;
30;12;2019;10;2;A3;26,1;0.063;Oscar;
30;12;2019;10;2;A4;24,4;0.041;Oscar;
30;12;2019;10;2;A5;24,9;0.089;Oscar;
30;12;2019;10;2;A6;18,9;0.028;Oscar;
30;12;2019;10;2;B1;23,1;0.053;Oscar;
30;12;2019;10;2;B2;27,2;0.101;Oscar;
30;12;2019;10;2;B3;22,8;0.089;Oscar;
30;12;2019;10;2;B4;20,1;0.049;Oscar;
30;12;2019;10;2;B5;24,7;0.149;Oscar;
30;12;2019;10;2;B6;28;0.093;Oscar;
30;12;2019;10;2;C1;23,6;0.055;Oscar;
30;12;2019;10;2;C2;23,5;0.051;Oscar;
30;12;2019;10;2;C3;23,1;0.042;Oscar;
30;12;2019;10;2;C4;26,6;0.043;Oscar;
30;12;2019;10;2;C5;27,3;0.041;Oscar;
30;12;2019;10;2;C6;28,6;0.072;Oscar;
30;12;2019;10;2;D1;27,8;0.062;Oscar;
30;12;2019;10;2;D2;26,3;0.078;Oscar;
30;12;2019;10;2;D3;23,9;0.11;Oscar;
30;12;2019;10;2;D4;27,2;0.082;Oscar;
30;12;2019;10;2;D5;34;0.065;Oscar;
30;12;2019;10;2;D6;30,1;0.061;Oscar;
30;12;2019;10;2;E1;24,7;0.068;Oscar;
30;12;2019;10;2;E2;26,2;0.103;Oscar;
30;12;2019;10;2;E3;28,6;0.111;Oscar;
30;12;2019;10;2;E4;26,2;0.068;Oscar;
30;12;2019;10;2;E5;24,9;0.037;Oscar;
30;12;2019;10;2;E6;21,3;0.045;Oscar;
30;12;2019;10;2;F1;28,1;0.071;Oscar;
30;12;2019;10;2;F2;28,8;0.066;Oscar;
30;12;2019;10;2;F3;28,1;0.041;Oscar;
30;12;2019;10;2;F4;28,5;0.053;Oscar;
30;12;2019;10;2;F5;27,5;0.042;Oscar;
30;12;2019;10;2;F6;28,6;0.062;Oscar;
30;12;2019;10;3;A1;27,6;0.107;Oscar;
30;12;2019;10;3;A2;23,6;0.089;Oscar;
30;12;2019;10;3;A3;22,2;0.066;Oscar;
30;12;2019;10;3;A4;24,3;0.067;Oscar;
30;12;2019;10;3;A5;27,9;0.11;Oscar;
30;12;2019;10;3;A6;33,8;0.103;Oscar;
30;12;2019;10;3;B1;28,2;0.072;Oscar;
30;12;2019;10;3;B2;36,2;0.092;Oscar;
30;12;2019;10;3;B3;28,6;0.086;Oscar;
30;12;2019;10;3;B4;28,7;0.067;Oscar;
30;12;2019;10;3;B5;31,4;0.049;Oscar;
30;12;2019;10;3;B6;30,6;0.061;Oscar;
30;12;2019;10;3;C1;27,3;0.067;Oscar;
30;12;2019;10;3;C2;28,2;0.097;Oscar;
30;12;2019;10;3;C3;28,8;0.061;Oscar;
30;12;2019;10;3;C4;27,7;0.063;Oscar;
30;12;2019;10;3;C5;28,8;0.093;Oscar;
30;12;2019;10;3;C6;28,7;0.143;Oscar;
30;12;2019;10;3;D1;36,1;0.047;Oscar;
30;12;2019;10;3;D2;35,1;0.05;Oscar;
30;12;2019;10;3;D3;30,3;0.072;Oscar;
30;12;2019;10;3;D4;29,2;0.055;Oscar;
30;12;2019;10;3;D5;36,2;0.053;Oscar;
30;12;2019;10;3;D6;33;0.049;Oscar;
30;12;2019;10;3;E1;14,2;0.039;Oscar;
30;12;2019;10;3;E2;20,6;0.038;Oscar;
30;12;2019;10;3;E3;34,6;0.065;Oscar;
30;12;2019;10;3;E4;33,1;0.066;Oscar;
30;12;2019;10;3;E5;30,8;0.059;Oscar;
30;12;2019;10;3;E6;27,9;0.041;Oscar;
30;12;2019;10;3;F1;24,3;0.049;Oscar;
30;12;2019;10;3;F2;30,8;0.049;Oscar;
30;12;2019;10;3;F3;36,2;0.086;Oscar;
30;12;2019;10;3;F4;24,7;0.054;Oscar;
30;12;2019;10;3;F5;22,3;0.061;Oscar;
30;12;2019;10;3;F6;28,6;0.068;Oscar;
30;12;2019;10;4;A1;27,5;0.11;Oscar;
30;12;2019;10;4;A2;26,7;0.096;Oscar;
30;12;2019;10;4;A3;28,3;0.081;Oscar;
30;12;2019;10;4;A4;19,9;0.068;Oscar;
30;12;2019;10;4;A5;19,8;0.056;Oscar;
30;12;2019;10;4;A6;29,3;0.068;Oscar;
30;12;2019;10;4;B1;34,2;0.106;Oscar;
30;12;2019;10;4;B2;33,3;0.117;Oscar;
30;12;2019;10;4;B3;29;0.088;Oscar;
