day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
1;28;2019;8;D4;43.9;0.206;0.206;10;;;
1;28;2019;8;D5;44.2;0.247;0.247;10;;;
1;28;2019;8;D6;43.2;0.213;0.213;10;;;
1;28;2019;8;E1;43.7;0.284;0.284;10;;;
1;28;2019;8;E2;43.9;0.186;0.186;10;;;
1;28;2019;8;E3;43.3;0.157;0.157;10;;;
1;28;2019;8;E4;42.2;0.184;0.184;10;;;
1;28;2019;8;E5;43.2;0.176;0.176;10;;;
1;28;2019;8;E6;43.4;0.228;0.228;10;;;
1;28;2019;8;F1;16.6;0.180;0.180;5;;;
1;28;2019;8;F2;19.9;0.276;0.276;5;;;
1;28;2019;8;F3;19.4;0.239;0.239;5;;;
1;28;2019;8;F4;18.0;0.173;0.173;5;;;
1;28;2019;8;F5;43.1;0.215;0.215;10;;;
1;28;2019;8;F6;18.3;0.149;0.149;5;;;
1;28;2019;9;A1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;A2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;A3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;A4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;A5;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;A6;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B5;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;B6;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C5;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;C6;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D5;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;D6;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E5;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;E6;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;F1;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;F2;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;F3;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;F4;NA;NA;0.0944;NA;Todavía no replanteada;;
1;28;2019;9;F5;NA;NA;0.0944;NA;Todavía no replanteada;;
