"focal";"fitness";"BEMA";"CHFU";"CHMI";"CETE";"HOMA";"LEMA";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SPRU";"MESU";"MEEL";"MEPO";"SOAS";"FRPU";"SUSP";"COSQ";"RAPE";"plot";"subplot"
"LEMA";290;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F5"
"BEMA";240;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F5"
"SCLA";155;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F6"
"HOMA";20;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"F6"
"HOMA";120;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F6"
"LEMA";348;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F6"
"BEMA";924;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"F6"
"SCLA";93;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A1"
"SCLA";62;1;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;"A1"
"BEMA";216;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A1"
"LEMA";348;0;0;0;1;0;5;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;"A1"
"LEMA";348;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;"A2"
"BEMA";64;0;0;0;2;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A2"
"SCLA";124;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;"A2"
"BEMA";80;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A3"
"CHFU";320;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A3"
"HOMA";40;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A3"
"CHFU";96;0;4;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A3"
"LEMA";696;0;2;0;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A3"
"BEMA";172;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A4"
"LEMA";406;1;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"A4"
